menu_id,title,group,file,line_count,option_count,dependencies
"AOS_app","AOS - AESIR Oilfield Simulation 0.1.2 - Hito Bombeo Mecanico\n","GENERAL","src/menu/AOS_app.m",70,0,"iniciar_aos|aos_leer_opcion|AOS_menu_operacion_yacimiento|AOS_menu_importar_exportar|AOS_menu_configuracion|aos_normalizar_config|aos_sincronizar_geologia_activa|aos_menu_imprimir_resumen_config|aos_menu_imprimir_ultima_corrida"
"aos_leer_opcion","aos leer opcion","GENERAL","src/menu/aos_leer_opcion.m",18,0,""
"AOS_menu_analisis_integral","\n--- ANALISIS INTEGRAL DEL YACIMIENTO %s ---\n","GENERAL","src/menu/AOS_menu_analisis_integral.m",31,0,"aos_etiqueta_modulo|aos_leer_opcion|aos_modulo_no_disponible"
"AOS_menu_baterias","\n--- BATERIAS E INSTALACIONES %s ---\n","GENERAL","src/menu/AOS_menu_baterias.m",16,0,"aos_etiqueta_modulo|aos_leer_opcion|aos_mostrar_seccion_activa|aos_modulo_no_disponible"
"AOS_menu_BES","\n--- BOMBEO ELECTROSUMERGIBLE (BES) %s ---\n","BES","src/menu/AOS_menu_BES.m",49,0,"aos_etiqueta_modulo|aos_leer_opcion|aos_preparar_config_activa|BES_V2_menu|aos_config_base|bes2_defaults|bes2_sensibilidad_menu|bes2_cargar_bomba|bes2_comparar_v1_v2|BES_app|AOS_catalogos_listar_tipo|AOS_menu_reportes"
"AOS_menu_BM","\n--- BOMBEO MECANICO (BM) %s ---\n","BM","src/menu/AOS_menu_BM.m",40,0,"aos_etiqueta_modulo|aos_leer_opcion|aos_preparar_config_activa|BM_menu|aos_modulo_no_disponible|AOS_catalogos_listar_tipo|AOS_menu_reportes|AOS_exportar_ultima_corrida"
"AOS_menu_catalogos","\n--- ADMINISTRACION DE CATALOGOS ---\n","GENERAL","src/menu/AOS_menu_catalogos.m",65,0,"aos_leer_opcion|AOS_catalogos_listar_tipo|aos_mostrar_seccion_activa"
"AOS_menu_CGF","\n--- CGF - COMPRESION DE GAS EN FONDO %s ---\n","CGF","src/menu/AOS_menu_CGF.m",26,0,"aos_etiqueta_modulo|aos_leer_opcion|CGF_menu|aos_config_base|cgf_defaults|cgf_sensibilidad_menu|aos_comparar_gas_fondo"
"AOS_menu_comparacion_sla","\n--- COMPARACION DE SISTEMAS SLA ---\n","GENERAL","src/menu/AOS_menu_comparacion_sla.m",20,0,"aos_leer_opcion|sens_Qiny|sens_balance_energetico|aos_comparar_gas_fondo|aos_modulo_no_disponible"
"AOS_menu_configuracion","\n--- CONFIGURACION GENERAL ---\n","GENERAL","src/menu/AOS_menu_configuracion.m",222,0,"aos_leer_opcion|aos_menu_imprimir_resumen_config|aos_preferencias_usuario|aos_scada_rutas|aos_registro_modulos|diagnosticar_rutas_archivos"
"AOS_menu_datos_pozo","\n--- POZO: SURVEY, PUNZADOS Y COMPLETACION ---\n","GENERAL","src/menu/AOS_menu_datos_pozo.m",117,0,"aos_obtener_geometria_activa|aos_leer_opcion|aos_visualizar_geometria_pozo|aos_validar_geometria_pozo|aos_exportar_geometria_pozo|cargar_geologia_interactivo|aos_normalizar_config|aos_sincronizar_geologia_activa"
"AOS_menu_EGF","\n--- EGF - EDUCTOR GAS-GAS DE FONDO %s ---\n","EGF","src/menu/AOS_menu_EGF.m",26,0,"aos_etiqueta_modulo|aos_leer_opcion|EGF_menu|aos_config_base|egf_defaults|egf_sensibilidad_menu|aos_comparar_gas_fondo"
"AOS_menu_fluidos","\n--- FLUIDOS Y ASEGURAMIENTO DE FLUJO %s ---\n","GENERAL","src/menu/AOS_menu_fluidos.m",17,0,"aos_etiqueta_modulo|aos_leer_opcion|aos_mostrar_seccion_activa|aos_modulo_no_disponible"
"AOS_menu_formatos_externos","\n--- FORMATOS EXTERNOS Y PLANILLAS ---\n","GENERAL","src/menu/AOS_menu_formatos_externos.m",20,0,"aos_leer_opcion|importar_pozos"
"AOS_menu_gas_fondo","\n--- PRODUCCION Y COMPRESION DE GAS EN FONDO ---\n","GENERAL","src/menu/AOS_menu_gas_fondo.m",33,0,"CGF_menu|aos_config_base|cgf_defaults|cgf_sensibilidad_menu|EGF_menu|egf_defaults|egf_sensibilidad_menu|aos_comparar_gas_fondo"
