# Survey del pozo base
# Columnas: MD(m)  TVD(m)  Inclinacion(°)  Azimut(°)  ID_tubing(m)  ID_casing(m)  Rugosidad(m)
# Diámetros estimados (ajustar si hay datos reales)
0.00    0.00    0.00    0.00    0.062   0.100   0.000015
236.00  236.00  0.40    333.00  0.062   0.100   0.000015
450.00  449.99  0.30    296.50  0.062   0.100   0.000015
529.00  528.99  0.40    306.80  0.062   0.100   0.000015
558.00  557.99  1.10    350.50  0.062   0.100   0.000015
599.00  598.98  1.40    347.40  0.062   0.100   0.000015
641.00  640.96  1.80    341.60  0.062   0.100   0.000015
683.00  682.95  0.90    340.80  0.062   0.100   0.000015
724.00  723.95  1.10    330.60  0.062   0.100   0.000015
766.00  765.94  1.10    330.60  0.062   0.100   0.000015
808.00  807.93  1.10    318.20  0.062   0.100   0.000015
849.00  848.92  0.80    320.40  0.062   0.100   0.000015
891.00  890.92  1.00    324.80  0.062   0.100   0.000015
932.00  931.92  0.40    201.50  0.062   0.100   0.000015
974.00  973.92  0.80    199.10  0.062   0.100   0.000015
1016.00 1015.91 0.90    198.20  0.062   0.100   0.000015
1057.00 1056.97 0.70    209.20  0.062   0.100   0.000015
1099.00 1098.97 0.70    182.50  0.062   0.100   0.000015
1141.00 1140.97 1.10    186.50  0.062   0.100   0.000015
1164.00 1163.96 1.15    190.40  0.062   0.100   0.000015
1182.00 1181.96 1.20    193.20  0.062   0.100   0.000015
1224.00 1223.95 0.60    169.30  0.062   0.100   0.000015
1266.00 1265.95 1.30    106.20  0.062   0.100   0.000015
1307.00 1306.94 0.90    88.70   0.062   0.100   0.000015
1349.00 1348.93 1.30    93.10   0.062   0.100   0.000015
1356.00 1355.93 1.33    92.24   0.062   0.100   0.000015
1391.00 1390.92 1.50    88.50   0.062   0.100   0.000015
1432.00 1431.91 1.50    75.30   0.062   0.100   0.000015
1460.00 1459.90 1.50    39.70   0.062   0.100   0.000015
1488.00 1487.87 3.30    355.30  0.062   0.100   0.000015
1515.00 1514.80 5.10    350.10  0.062   0.100   0.000015
1543.00 1542.64 7.20    340.00  0.062   0.100   0.000015
1571.00 1570.34 9.50    338.60  0.062   0.100   0.000015
1599.00 1597.91 10.60   337.90  0.062   0.100   0.000015
1627.00 1625.36 12.00   338.60  0.062   0.100   0.000015
1654.00 1651.68 13.80   343.70  0.062   0.100   0.000015
1682.00 1678.87 13.90   344.40  0.062   0.100   0.000015
1710.00 1693.51 13.80   344.20  0.062   0.100   0.000015
1738.00 1720.72 13.50   342.80  0.062   0.100   0.000015
1765.00 1747.00 13.10   342.70  0.062   0.100   0.000015
1784.90 1766.38 13.10   344.41  0.062   0.100   0.000015
1793.00 1774.27 13.10   345.10  0.062   0.100   0.000015
1820.00 1800.57 13.10   345.60  0.062   0.100   0.000015
1849.00 1828.80 13.40   343.90  0.062   0.100   0.000015
1877.00 1856.02 13.60   343.40  0.062   0.100   0.000015
1904.00 1882.27 13.50   345.30  0.062   0.100   0.000015
1932.00 1909.56 12.40   339.80  0.062   0.100   0.000015
1960.00 1936.91 12.40   340.90  0.062   0.100   0.000015
1988.00 1964.28 11.90   339.70  0.062   0.100   0.000015
2015.00 1990.72 11.50   340.80  0.062   0.100   0.000015
2043.00 2018.17 11.30   336.70  0.062   0.100   0.000015
2071.00 2055.39 12.20   335.70  0.062   0.100   0.000015
2073.00 2057.34 12.21   335.70  0.062   0.100   0.000015
2099.00 2082.75 12.30   335.70  0.062   0.100   0.000015
2127.00 2110.11 12.30   336.80  0.062   0.100   0.000015
2154.00 2136.51 11.80   339.90  0.062   0.100   0.000015
2182.00 2163.93 11.50   339.30  0.062   0.100   0.000015
2210.00 2191.31 12.70   340.80  0.062   0.100   0.000015
2238.00 2218.63 12.60   342.00  0.062   0.100   0.000015
2265.00 2244.99 12.40   343.20  0.062   0.100   0.000015
2293.00 2272.35 12.10   340.80  0.062   0.100   0.000015
2321.00 2299.75 11.80   341.10  0.062   0.100   0.000015
2348.00 2326.18 11.80   343.10  0.062   0.100   0.000015
2376.00 2353.60 11.50   341.50  0.062   0.100   0.000015
2403.00 2380.09 10.80   342.50  0.062   0.100   0.000015
2431.00 2407.58 11.20   339.90  0.062   0.100   0.000015
2459.00 2435.01 11.80   336.00  0.062   0.100   0.000015
2487.00 2466.68 12.70   335.40  0.062   0.100   0.000015
2515.00 2494.02 12.30   335.70  0.062   0.100   0.000015
2542.00 2520.41 12.10   334.90  0.062   0.100   0.000015
2570.00 2547.80 11.90   341.60  0.062   0.100   0.000015
2598.00 2575.23 11.30   342.30  0.062   0.100   0.000015
2626.00 2602.72 10.50   343.70  0.062   0.100   0.000015
2653.00 2629.28 10.20   341.00  0.062   0.100   0.000015
2681.00 2656.88 9.20    343.10  0.062   0.100   0.000015
2709.00 2684.56 8.30    346.50  0.062   0.100   0.000015
2737.00 2728.98 7.60    344.30  0.062   0.100   0.000015
2764.00 2755.78 6.30    347.10  0.062   0.100   0.000015
2792.00 2783.59 7.00    343.10  0.062   0.100   0.000015
2820.00 2811.37 7.60    339.60  0.062   0.100   0.000015
2848.00 2839.14 7.00    337.00  0.062   0.100   0.000015
2875.00 2865.93 7.30    336.30  0.062   0.100   0.000015
2903.00 2893.72 6.90    334.80  0.062   0.100   0.000015
2931.00 2921.52 6.60    332.00  0.062   0.100   0.000015
2959.00 2949.36 5.70    332.00  0.062   0.100   0.000015
2976.00 2966.28 5.30    332.00  0.062   0.100   0.000015
3100.00 3099.07 3.00    332.00  0.062   0.100   0.000015
